show_id,type,title,director,country,date_added,release_year,rating,listed_in,year_added,month_added,duration_value,duration_unit,genre_count
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,25-09-2021,2020,PG-13,Documentaries,2021,9,90,min,1
s3,Tv Show,Ganglands,Julien Leclercq,France,24-09-2021,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,1,season,3
s6,Tv Show,Midnight Mass,Mike Flanagan,United States,24-09-2021,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",2021,9,1,season,3
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,22-09-2021,2021,TV-PG,"Children & Family Movies, Comedies",2021,9,91,min,2
s8,Movie,Sankofa,Haile Gerima,United States,24-09-2021,1993,TV-MA,"Dramas, Independent Movies, International Movies",2021,9,125,min,3
s9,Tv Show,The Great British Baking Show,Andy Devonshire,United Kingdom,24-09-2021,2021,TV-14,"British TV Shows, Reality TV",2021,9,9,season,2
s10,Movie,The Starling,Theodore Melfi,United States,24-09-2021,2021,PG-13,"Comedies, Dramas",2021,9,104,min,2
s939,Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,01-05-2021,2019,TV-Y7,"Children & Family Movies, Comedies, Music & Musicals",2021,5,87,min,3
s13,Movie,Je Suis Karl,Christian Schwochow,Germany,23-09-2021,2021,TV-MA,"Dramas, International Movies",2021,9,127,min,2
s940,Movie,Motu Patlu in Wonderland,Suhas Kadav,India,01-05-2021,2013,TV-Y7,"Children & Family Movies, Music & Musicals",2021,5,76,min,2
s941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,01-05-2021,2014,TV-Y7,"Children & Family Movies, Comedies",2021,5,76,min,2
s942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,01-05-2021,2013,TV-Y7,"Children & Family Movies, Comedies",2021,5,71,min,2
s852,Movie,99 Songs (Tamil),Unknown,Pakistan,21-05-2021,2021,TV-14,"Dramas, International Movies, Music & Musicals",2021,5,131,min,3
s471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,13-07-2021,2021,TV-14,Movies,2021,7,39,min,1
s730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12-06-2021,2021,TV-MA,Movies,2021,6,36,min,1
s731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,12-06-2021,2021,TV-MA,Movies,2021,6,34,min,1
s913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,07-05-2021,2021,TV-14,Comedies,2021,5,35,min,1
s4,Tv Show,Jailbirds New Orleans,Unknown,Pakistan,24-09-2021,2021,TV-MA,"Docuseries, Reality TV",2021,9,1,season,2
s15,Tv Show,Crime Stories: India Detectives,Unknown,Pakistan,22-09-2021,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",2021,9,1,season,3
s3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,26-11-2019,2019,TV-Y,Children & Family Movies,2019,11,46,min,1
s4832,Tv Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,15-06-2018,2018,TV-Y,Kids' TV,2018,6,1,season,1
s4833,Tv Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,15-06-2018,2018,TV-Y,Kids' TV,2018,6,1,season,1
s4857,Tv Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,18-05-2018,2018,TV-Y,Kids' TV,2018,5,1,season,1
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Unknown,24-09-2021,2021,PG,Children & Family Movies,2021,9,91,min,1
s12,Tv Show,Bangkok Breaking,Kongkiat Komesiri,Unknown,23-09-2021,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,1,season,3
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Unknown,22-09-2021,2020,TV-MA,"Documentaries, International Movies",2021,9,67,min,2
s7930,Movie,Samudri Lootere,Anirban Majumder,Unknown,18-06-2019,2018,TV-Y,Children & Family Movies,2019,6,65,min,1
